FIPS,County,percent_food_insecure
06001,Alameda,11.2
06003,Alpine,11.2
06005,Amador,11.2
06007,Butte,11.2
06009,Calaveras,11.2
06011,Colusa,11.2
06013,Contra Costa,11.2
06015,Del Norte,11.2
06017,El Dorado,11.2
06019,Fresno,11.2
06021,Glenn,11.2
06023,Humboldt,11.2
06025,Imperial,11.2
06027,Inyo,11.2
06029,Kern,11.2
06031,Kings,11.2
06033,Lake,11.2
06035,Lassen,11.2
06037,Los Angeles,11.2
06039,Madera,11.2
06041,Marin,11.2
06043,Mariposa,11.2
06045,Mendocino,11.2
06047,Merced,11.2
06049,Modoc,11.2
06051,Mono,11.2
06053,Monterey,11.2
06055,Napa,11.2
06057,Nevada,11.2
06059,Orange,11.2
06061,Placer,11.2
06063,Plumas,11.2
06065,Riverside,11.2
06067,Sacramento,11.2
06069,San Benito,11.2
06071,San Bernardino,11.2
06073,San Diego,11.2
06075,San Francisco,11.2
06077,San Joaquin,11.2
06079,San Luis Obispo,11.2
06081,San Mateo,11.2
06083,Santa Barbara,11.2
06085,Santa Clara,11.2
06087,Santa Cruz,11.2
06089,Shasta,11.2
06091,Sierra,11.2
06093,Siskiyou,11.2
06095,Solano,11.2
06097,Sonoma,11.2
06099,Stanislaus,11.2
06101,Sutter,11.2
06103,Tehama,11.2
06105,Trinity,11.2
06107,Tulare,11.2
06109,Tuolumne,11.2
06111,Ventura,11.2
06113,Yolo,11.2
06115,Yuba,11.2
